id,title,company,location,country,salary_min,salary_max,contract_type,category,source,job_url,posted_at,collected_at
1,Account Manager,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8196955002?gh_jid=8196955002,2026-01-13,2026-01-18 15:01:52.549219
2,Account Manager - Shops,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/7804477002?gh_jid=7804477002,2026-01-13,2026-01-18 15:01:52.549219
3,Analytics & Automation Manager,Careem,"Karachi, Pakistan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8086435002?gh_jid=8086435002,2026-01-13,2026-01-18 15:01:52.549219
4,Associate Director - Careem Box,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8248418002?gh_jid=8248418002,2026-01-13,2026-01-18 15:01:52.549219
5,Associate Director of Ads Sales - Agency Partnerships,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/7804497002?gh_jid=7804497002,2026-01-13,2026-01-18 15:01:52.549219
6,Care Content Design Lead,Careem,"Karachi, Pakistan; Lahore, Pakistan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8089841002?gh_jid=8089841002,2026-01-13,2026-01-18 15:01:52.549219
7,Category Manager - Snacks & Frozen,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/7804298002?gh_jid=7804298002,2026-01-13,2026-01-18 15:01:52.549219
8,City Head - Food - Abu Dhabi,Careem,"Abu Dhabi, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8198973002?gh_jid=8198973002,2026-01-13,2026-01-18 15:01:52.549219
9,Communications Manager,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8320185002?gh_jid=8320185002,2026-01-13,2026-01-18 15:01:52.549219
10,Creative Manager,Careem,"Amman, Jordan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8142177002?gh_jid=8142177002,2026-01-13,2026-01-18 15:01:52.549219
