id,title,company,location,country,salary_min,salary_max,contract_type,category,source,job_url,posted_at,collected_at,source_id,is_active,created_at,updated_at
202,Mortgage Advisor ,Property Finder,"Dubai, United Arab Emirates",UAE,,,,PropTech,greenhouse,https://boards.greenhouse.io/propertyfinder/jobs/7515774003?gh_jid=7515774003,2026-01-19,2026-01-19 00:00:00,49,t,2026-01-19 14:47:19.076051,2026-01-19 14:47:19.076051
577,Junior Sales Analyst - Inside Sales,Dubizzle,,UAE,,,Full-time,UAE,workable,https://apply.workable.com/j/0FFFA11753,2025-12-08,2026-01-20 00:00:00,63,t,2026-01-20 11:13:00.510712,2026-01-20 11:13:00.510712
32,Senior Brand Ads Executive,Careem,"Amman, Jordan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8294058002?gh_jid=8294058002,2026-01-15,2026-01-19 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
1,Account Manager,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8196955002?gh_jid=8196955002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
2,Analytics & Automation Manager,Careem,"Karachi, Pakistan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8086435002?gh_jid=8086435002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
3,Associate Director - Careem Box,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8248418002?gh_jid=8248418002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
576,Junior Legal Executive,Dubizzle,,UAE,,,,Bayut KSA,workable,https://apply.workable.com/j/26B6918334,2025-11-24,2026-01-20 00:00:00,63,t,2026-01-20 11:13:00.510712,2026-01-20 11:13:00.510712
4,Care Content Design Lead,Careem,"Karachi, Pakistan; Lahore, Pakistan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8089841002?gh_jid=8089841002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
5,Category Manager - Snacks & Frozen,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/7804298002?gh_jid=7804298002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
6,City Head - Food - Abu Dhabi,Careem,"Abu Dhabi, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8198973002?gh_jid=8198973002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
7,Communications Manager,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8320185002?gh_jid=8320185002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
8,Creative Manager,Careem,"Amman, Jordan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8142177002?gh_jid=8142177002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
9,Data Analyst I,Careem,"Lahore, Pakistan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8230063002?gh_jid=8230063002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
10,Data Analyst II,Careem,"Lahore, Pakistan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/7528253002?gh_jid=7528253002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
11,Desing Executive,Careem,"Cairo, Egypt",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8148177002?gh_jid=8148177002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
12,Director of Data Science,Careem,"Dubai, United Arab Emirates",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8207105002?gh_jid=8207105002,2026-01-13,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
13,ERP Integration Manager,Careem,"Islamabad, Pakistan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8374009002?gh_jid=8374009002,2026-01-14,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
14,ERP Integration Manager,Careem,"Karachi, Pakistan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8336004002?gh_jid=8336004002,2026-01-14,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
15,ERP Integration Manager,Careem,"Lahore, Pakistan",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8374007002?gh_jid=8374007002,2026-01-14,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
16,ERP Integration Manager,Careem,"Cairo, Egypt",UAE,,,,Mobility,greenhouse,https://boards.greenhouse.io/careem/jobs/8374008002?gh_jid=8374008002,2026-01-14,2026-01-20 00:00:00,42,t,2026-01-19 14:01:27.143196,2026-01-19 14:01:27.143196
